GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196403,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196404,   150,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196405,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196406,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196407,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196408,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196409,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196410,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196411,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196412,   180,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196501,   120,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196502,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196503,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196504,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196505,     0,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196507,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196508,   140,C, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196510,    10, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196511,    30,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196512,   100,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196601,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196602,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196603,     0,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196604,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196605,    40,E, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196606,     0,A, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196607,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196608,     0, , ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196609,     0,B, ,D,000012
AG000060611,                             "IN-AMENAS",  28.0500,    9.6331,   561.0,196610,   290,C, ,D,000012
