GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195001,   698, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195002,   506, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195003,   532, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195004,   227, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195005,   621, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195006,    34, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195007,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195008,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195009,   273, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195010,  1282, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195011,   675, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195012,   385, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195101,  1135, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195102,   545, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195103,    45, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195104,  1410, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195105,   969, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195106,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195107,    53, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195108,   145, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195109,    23, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195110,   260, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195111,   879, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195112,   257, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195201,   495, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195202,   550, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195203,  1150, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195204,   103, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195205,   485, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195206,   215, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195207,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195208,    15, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195209,   482, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195210,  1329, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195211,   236, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195212,   880, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195301,   930, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195302,   828, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195303,   589, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195304,  2260, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195305,    85, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195306,    90, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195307,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195308,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195309,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195310,   230, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195311,   320, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195312,   620, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195401,  1550, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195402,   555, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195403,   815, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195404,   955, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195405,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195406,   336, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195407,    40, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195408,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195409,   575, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195410,   380, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195411,   575, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195412,   380, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195501,   815, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195502,  2430, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195503,   205, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195504,   670, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195505,   100, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195506,    60, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195507,    30, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195508,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195509,    95, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195510,   930, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195511,  1035, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195512,   810, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195601,  1040, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195602,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195603,   460, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195604,  1160, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195605,   365, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195606,    55, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195607,    10, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195608,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195609,    50, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195610,  1065, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195611,  1860, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195612,  2055, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195701,  2105, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195702,   320, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195703,   170, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195704,   700, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195705,     5, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195706,    60, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195707,    25, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195708,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195709,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195710,  1235, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195711,  1965, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195712,   890, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195801,   435, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195802,   878, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195803,   260, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195804,   140, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195805,   850, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195806,   285, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195807,     0, , ,R,106610
AGMLP060410,                                 "TENES",  36.5000,    1.3300,    17.0,195808,    10, , ,R,106610
