GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195703,    90, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195704,   710, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195705,  1920, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195706,   670, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195707,   310, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195708,   280, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195709,   110, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195710,   430, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195711,   610, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195712,   980, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195801,  2160, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195802,  2550, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195803,   810, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195804,   530, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195805,   790, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195806,   890, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195807,  1130, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195808,   920, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195809,   810, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195810,    30, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195811,  2070, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195812,  1040, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195901,  2130, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195902,   400, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195903,  1980, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195904,  3220, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195905,  1530, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195906,   880, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195907,  1120, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195908,   850, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195909,   160, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195910,  1930, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195911,  1400, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,195912,   330, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196001,  1110, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196002,   240, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196003,  1730, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196004,   400, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196005,    30, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196006,   350, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196007,  1710, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196008,   530, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196009,   540, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196010,  1310, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196011,   300, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8000,  -58.5000,    20.0,196012,   270, , ,R,078609
ARM00087576,                           "EZEIZA AERO", -34.8167,  -58.5333,    20.0,196101,  1375, , ,W,122671
ARM00087576,                           "EZEIZA AERO", -34.8167,  -58.5333,    20.0,196102,   785, , ,W,122671
