GHCN identifier,Station_name,Latitude,Longitude,Elevation,yearmonth,Precipitation_value,Measurement_flag,Quality_control_flag,Source_flag,Source_index
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196406,   887, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196407,  1063, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196408,   629, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196409,   787, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196410,   444, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196411,   699, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196412,   660, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196501,   406, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196502,   707, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196503,  1087, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196504,   743, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196505,   793, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196506,   669, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196507,   575, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196508,   387, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196509,   640, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196510,   673, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196511,   588, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196512,  1019, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196601,   878, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196602,   441, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196603,   860, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196604,   680, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196605,   681, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196606,   604, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196607,   850, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196608,   511, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196609,   456, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196610,   477, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196611,   688, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196612,   430, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196701,   854, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196702,  1210, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196703,  1141, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196704,  1000, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196705,   758, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196706,   471, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196707,   231, , ,W,122904
ASM00094998,                      "MACQUARIE ISLAND", -54.5000,  158.9333,     6.0,196708,   508, , ,W,122904
